prenom;genre
abel;m
absolon;m
achille;m
adam;m
adelaide;f
adele;f
adeline;f
adolphe;m
adrien;m
adrienne;f
agathe;f
agnes;f
aime;m
aimee;f
alain;m
albert;m
albertine;f
alexandre;m
alexandrie;f
alexis;m
alfred;m
alice;f
aline;f
alison;f
alphonse;m
alphonsine;f
amarante;f
amaury;m
ambre;f
ambroise;m
amedee;m
amelie;f
anais;f
anastasie;f
anatole;m
andre;m
andree;f
angele;f
angeline;f
angelique;f
anne;f
annette;f
anselme;m
antoine;m
antoinette;f
apollinaire;m
apolline;f
ariane;f
arianne;f
arienne;f
aristide;m
arlette;f
armand;m
armel;m
armelle;f
arnaud;m
arnaude;f
aude;f
auguste;m
augustin;m
aurele;m
aurelie;f
aurelien;m
aurore;f
avril;f
axelle;f
baptiste;m
barbara;f
barnabe;m
barthelemy;m
basile;m
bastien;m
baudouin;m
beatrice;f
benedicte;f
benjamin;m
benjamine;f
benoit;m
benoite;f
bernadette;f
bernard;m
bernardine;f
berthe;f
bertrand;m
blaise;m
blanche;f
boniface;m
brice;m
brigitte;f
bruno;m
camille;f
carine;f
carole;f
caroline;f
catherine;f
cecile;f
celeste;f
celestin;m
celestine;f
celine;f
cerise;f
cesaire;m
cesar;m
chantal;f
chante;f
charles;m
charline;f
charlot;m
charlotte;f
chloe;f
christelle;f
christian;m
christiane;f
christianne;f
christine;f
christophe;m
claire;f
clarice;f
clarisse;f
claude;m
claudette;f
claudine;f
clemence;f
clement;m
clementine;f
clothilde;f
colette;f
colombain;m
colombe;m
constance;f
constant;m
constantin;m
corentin;m
corin;m
corinne;f
cosette;f
cunegonde;f
cyrille;m
damien;m
daniel;m
daniele;f
danielle;f
david;m
delphine;f
denis;m
denise;f
dennis;m
desire;m
desiree;f
diane;f
dianne;f
didier;m
dieudonne;m
dieudonnee;f
dimitri;m
diodore;m
dion;m
dominique;f
donat;m
donatien;m
donatienne;f
doriane;f
dorothee;f
edgar;m
edgard;m
edith;f
edmond;m
edouard;m
edwige;f
eleonore;f
eliane;f
elisabeth;f
elise;f
elodie;f
eloi;m
eloise;f
emeline;f
emile;m
emilie;f
emilien;m
emma;f
emmanuel;m
emmanuelle;f
eric;m
ermenegilde;m
esme;m
esmee;f
esther;f
etienne;m
eugene;m
eugenie;f
eulalie;f
eustache;m
evariste;m
eve;f
evette;f
evrard;m
fabien;m
fabienne;f
fabiola;f
fabrice;m
faustine;f
felicie;f
felicien;m
felicienne;f
felix;m
ferdinand;m
fernand;m
fernande;f
fiacre;m
fifi;f
firmin;m
flavie;f
florence;f
florentin;m
florette;f
florian;m
florianne;f
francine;f
franck;m
françois;m
françoise;f
frederic;m
frederique;f
gabriel;m
gabrielle;f
gaetan;m
gaetane;f
gaspard;m
gaston;m
gautier;m
genevieve;f
geoffroi;m
georges;m
georgette;f
georgine;f
gerald;m
gerard;m
geraud;m
germain;m
germaine;f
gervais;m
gervaise;f
ghislain;m
ghislaine;f
gigi;f
gilbert;m
gilberte;f
gilles;m
gisele;f
giselle;f
gisselle;f
godelieve;m
gratien;m
gregoire;m
guillaume;m
gustave;m
guy;m
gwenaelle;f
hannah;f
hector;m
helene;f
heloise;f
henri;m
henriette;f
herbert;m
hercule;m
hermine;f
herve;m
hilaire;m
hippolyte;f
honore;m
honorine;f
horace;m
hortense;f
hubert;m
hugues;m
humbert;m
hyacinthe;f
ignace;m
ines;f
irene;m
irene;f
irenee;f
isabel;f
isabelle;f
isidore;m
jacinthe;f
jacqueline;f
jacques;m
jean;m
jean-baptiste;m
jeanine;f
jean-marie;m
jeanne;f
jeannette;f
jeannine;f
jeannot;m
jeremie;m
jerome;m
joachim;m
joceline;f
joël;m
joelle;f
jolie;f
josee;f
joseph;m
josephe;f
josephine;f
josette;f
josiane;f
josue;m
jourdain;m
judith;f
jules;m
juliane;f
julie;f
julien;m
julienne;f
juliette;f
juste;m
justin;m
justine;f
lambert;m
laure;f
laurence;f
laurent;m
laurentine;f
laurette;f
lazare;m
lea;f
leandre;m
leon;m
leonard;m
leonce;m
leonie;f
leonne;f
leontine;f
leopold;m
liane;f
lionel;m
lisette;f
loic;m
lothaire;m
louis;m
louise;f
loup;m
luc;m
lucas;m
luce;f
lucie;f
lucien;m
lucienne;f
lucile;f
lucille;f
lucinde;f
lucrece;f
lunete;f
lydie;f
madeleine;f
madeline;f
manon;f
marc;m
marcel;m
marceline;f
marcelle;f
marcellette;f
marcellin;m
marcelline;f
margot;f
marguerite;f
marianne;f
marie;f
marielle;f
mariette;f
marin;m
marine;f
marise;f
marius;m
marthe;f
martin;m
martine;f
mathieu;m
mathilde;f
mathis;m
matthieu;m
maurice;m
maxime;m
maximilien;m
maximilienne;f
melanie;f
melissa;f
michel;m
michele;f
micheline;f
michelle;f
mignon;f
mirabelle;f
mireille;f
modeste;m
modestine;m
monique;f
morgaine;f
morgane;f
muriel;f
myriam;f
nadia;f
nadine;f
narcisse;m
natalie;f
nathalie;f
nazaire;m
nicholas;m
nicodeme;m
nicolas;m
nicole;f
nicolette;f
nina;f
ninette;f
ninon;f
noe;m
noel;m
noella;f
noelle;f
noemie;f
oceane;f
odette;f
odile;f
odilon;m
olivie;f
olivier;m
olympe;f
onesime;m
oriane;f
orianne;f
osanne;f
ouida;f
ozanne;f
papillion;m
pascal;m
pascale;f
pascaline;f
paschal;m
patrice;m
patrick;m
paul;m
paule;f
paulette;f
pauline;f
penelope;f
perceval;m
perrine;f
philbert;m
philibert;m
philippe;m
philippine;f
pierre;m
pierrick;m
placide;f
pons;m
prosper;m
quentin;m
rachel;f
rainier;m
raoul;m
raphaël;m
raphael;m
raymond;m
raymonde;f
rebecca;f
regine;f
regis;m
reine;f
remi;m
remy;m
renard;m
renaud;m
rene;m
renee;f
reynaud;m
richard;m
robert;m
roch;m
rochelle;f
rodolph;m
rodolphe;m
rodrigue;m
roger;m
roland;m
rolande;f
romain;m
romaine;f
rosalie;f
rose;f
roselle;f
rosemonde;f
rosette;f
rosine;f
roxane;f
roxanne;f
sabine;f
sacha;m
salome;f
samuel;m
sandrine;f
sarah;f
sebastien;m
sebastienne;f
seraphine;f
serge;m
severin;m
severine;f
sibylle;f
sidonie;f
simon;m
simone;f
solange;f
sophie;f
stephane;m
stephanie;f
suzanne;f
suzette;f
sybille;f
sylvain;m
sylvaine;f
sylvestre;m
sylviane;f
sylvianne;f
sylvie;f
tatienne;f
telesphore;m
theirn;m
theo;m
theodore;m
theophile;m
therese;f
thibault;m
thierry;m
thomas;m
timothee;m
toinette;f
toussaint;m
tristan;m
ulrich;m
urbain;m
valentin;m
valentine;f
valere;m
valerie;f
valery;m
veronique;f
vespasien;m
victoire;f
victor;m
victorine;f
vienne;f
vincent;m
violette;f
virginie;f
vivien;f
vivienne;f
xavier;m
yanick;m
yann;m
yannic;m
yannick;m
yolande;f
yseult;f
yves;m
yvette;f
yvonne;f
zacharie;m
zephyrine;f
zoe;f